seqnames start end CI.start CI.end genoT deltaW filenames
chr10 103320482 103358436 103302734 103368672 wc-cc 80 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.114
chr10 119476126 119476552 119466040 119503697 cc-wc 100 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.115
chr10 120268520 120271965 120255195 120277433 wc-cc 86 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.116
chr10 131912585 131913107 131902870 131942339 cc-wc 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.117
chr10 132853221 132853909 132833709 132875892 wc-cc 79 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.118
chr11 36121409 36122889 36098823 36142994 ww-wc 92 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.119
chr11 36732289 36736623 36710969 36750439 wc-ww 100 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.120
chr11 45885156 45890198 45859969 45943624 ww-wc 94 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.121
chr11 74992378 74992845 73623743 76023507 wc-ww 93 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.122
chr11 122376273 122379096 122356380 122399123 ww-wc 91 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.123
chr11 123056611 123057348 123046907 123083700 wc-ww 88 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.124
chr11 125919933 125922832 125901536 125940709 ww-wc 93 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.125
chr11 126727064 126728225 126713410 126737878 wc-ww 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.126
chr12 62873837 62875888 62817438 62909083 ww-cc 172 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.127
chr12 63861964 63864967 63792371 63900645 cc-ww 174 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.128
chr13 17383234 17407984 17348299 17488237 wc-ww 80 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.129
chr13 18357551 18440197 18247456 18623716 ww-cc 162 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.130
chr13 44790633 44794642 44778474 44803192 cc-wc 84 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.131
chr13 45643792 45653939 45638382 45672371 wc-cc 78 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.132
chr13 48123702 48126753 48118550 48142242 cc-wc 98 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.133
chr13 48946217 48964465 48943830 48980133 wc-cc 82 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.134
chr13 51339026 51357044 51326246 51369618 cc-wc 82 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.135
chr13 51619742 51629202 51550429 51640343 wc-cc 81 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.136
chr13 82192798 82197838 82177680 82203909 cc-wc 89 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.137
chr13 82918902 82928871 82905541 82947540 wc-cc 87 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.138
chr14 20864845 20887717 20841159 20898171 wc-ww 92 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.139
chr14 34975197 34980895 34968864 34991960 ww-wc 94 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.140
chr14 35819314 35822206 35800091 35840942 wc-ww 100 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.141
chr14 72900785 72904686 72886397 72918214 ww-wc 100 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.142
chr14 74432106 74442302 74426927 74457936 wc-ww 85 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.143
chr14 74953997 74959838 74935895 75001172 ww-wc 87 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.144
chr14 75622984 75630764 75597447 75645603 wc-ww 81 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.145
chr14 76635697 76637574 76619436 76658444 ww-wc 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.146
chr14 78229307 78239958 78213616 78247798 wc-ww 91 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.147
chr14 81318986 81331698 81303628 81370396 ww-wc 79 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.148
chr14 81549927 81555474 81534991 81568476 wc-ww 80 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.149
chr14 90832231 90833250 90817193 90850299 ww-wc 93 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.150
chr14 91890245 91893447 91882999 91912222 wc-ww 86 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.151
chr14 101901972 101908766 101875929 101939060 ww-wc 88 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.152
chr14 104005452 104006448 103976324 104067024 wc-ww 81 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.153
chr15 32150253 32222280 32127512 32517140 cc-wc 94 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.154
chr15 34784218 34784652 34770133 34803797 wc-cc 92 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.155
chr15 50595189 50596595 48572500 50611881 cc-wc 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.156
chr15 50621047 50628651 50615705 50641502 wc-cc 102 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.157
chr15 60808007 60812594 60801981 60815421 cc-wc 122 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.158
chr15 90815774 90829939 90798437 90841318 wc-cc 92 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.159
chr16 46401579 46402355 46399471 46425394 wc-cc 169 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.160
chr17 26701270 26881208 26633593 26883544 ww-cc 119 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.161
chr17 26885816 27064659 26885716 27156663 cc-wc 118 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.162
chr18 2612275 2620084 2597691 2627288 cc-wc 89 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.163
chr18 3441237 3455137 3423839 3474370 wc-cc 91 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.164
chr18 9377768 9390252 9365364 9407581 cc-wc 82 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.165
chr18 10306419 10309668 10293836 10320849 wc-cc 100 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.166
chr18 22950374 22950819 22923728 22966247 cc-wc 100 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.167
chr18 23431553 23438495 23420288 23470609 wc-cc 78 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.168
chr18 34707827 34711045 34699206 34717469 cc-wc 84 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.169
chr18 35511040 35513334 35492234 35519063 wc-cc 92 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.170
chr18 48495827 48497164 48486073 48513561 cc-wc 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.171
chr18 49306036 49308125 49295011 49315324 wc-cc 83 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.172
chr18 70240281 70242843 70219536 70258533 cc-wc 70 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.173
chr18 70657598 70661472 70641786 70684386 wc-cc 78 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.174
chr19 54404889 54407856 54237624 54441848 wc-cc 173 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.175
chr20 10857266 10864829 10796297 10922681 cc-ww 175 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.176
chr20 28548989 28557350 26583842 28610466 ww-cc 157 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.177
chr20 29068452 29069108 29057892 29118408 cc-wc 138 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.178
chr21 10349134 10349378 10345455 10351572 cc-ww 138 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.179
chr21 10812915 12966134 10809185 12986627 ww-cc 155 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.180
chrX 23703321 23706594 23684889 23717115 ww-wc 82 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.181
chrX 24269028 24275692 24224789 24294342 wc-ww 88 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.182
chrX 30204888 30220820 30184752 30230422 ww-wc 89 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.183
chrX 31093615 31093711 31090103 31101332 wc-ww 89 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.184
chrX 40933958 40937219 40920203 40947644 ww-wc 86 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.185
chrX 41817657 41819781 41810866 41848142 wc-ww 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.186
chrX 47264182 47264652 47255776 47279276 ww-wc 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.187
chrX 47862071 47866140 47846644 47876014 wc-ww 89 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.188
chrX 65609938 65681357 65599036 65690906 ww-wc 75 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.189
chrX 65867674 65912502 65861066 65923185 wc-ww 75 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.190
chrX 70814741 70814976 70796866 70827982 ww-wc 97 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.191
chrX 71657845 71659018 71647735 71667780 wc-ww 95 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.192
chrX 107474920 107476969 107463754 107491949 ww-wc 89 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.193
chrX 107982004 108005414 107968451 108023783 wc-ww 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.194
chrX 119280226 119288121 119263156 119295482 ww-wc 77 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.195
chrX 119990368 119993959 119967022 120019469 wc-ww 97 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.196
chrX 129516153 129520807 129503306 129533717 ww-wc 86 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.197
chrX 130389748 130391856 130368424 130398876 wc-ww 78 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.198
chrX 136452328 136453525 136438927 136491372 ww-wc 96 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.199
chrX 137237507 137240483 137227182 137255166 wc-ww 98 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.200
chrX 153150170 153151223 153095176 153154069 ww-wc 103 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.201
chrX 154337787 154337880 154323338 154415950 wc-ww 90 fucci_blm_c14_w25_single_3e8_S238_.trimmed.mdup.bam.RData.202
chr1 119941628 120401423 119656913 148009994 ww-wc 35 fucci_blm_c14_w29_single_3e8_S240_.trimmed.mdup.bam.RData.1
chr1 151719579 153007208 146006464 153239421 wc-ww 35 fucci_blm_c14_w29_single_3e8_S240_.trimmed.mdup.bam.RData.2
chr6 67239767 67399372 65510552 69512817 ww-cc 165 fucci_blm_c14_w29_single_3e8_S240_.trimmed.mdup.bam.RData.3
chr8 125873844 126007706 124947417 126445818 wc-cc 166 fucci_blm_c14_w29_single_3e8_S240_.trimmed.mdup.bam.RData.4
chr9 127163926 127287255 126858598 133706678 cc-wc 81 fucci_blm_c14_w29_single_3e8_S240_.trimmed.mdup.bam.RData.5
chr22 27723398 27808850 20120568 28020085 wc-cc 74 fucci_blm_c14_w29_single_3e8_S240_.trimmed.mdup.bam.RData.6
chr1 146136739 146324434 146009904 146541445 ww-cc 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.1
chr1 148633078 148826113 148406042 148915162 cc-ww 167 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.2
chr1 162321597 162326478 162251638 162375905 ww-cc 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.3
chr1 214146757 214149132 214108889 214222404 cc-ww 171 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.4
chr2 175767200 175769300 175707965 175839907 ww-cc 172 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.5
chr3 90719407 90797718 90706209 90900881 cc-wc 80 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.6
chr3 93650821 93714428 93470700 93735943 wc-cc 148 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.7
chr4 48951637 49265073 48918190 49297320 ww-cc 53 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.8
chr4 49711588 51946271 49559654 51999947 cc-ww 54 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.9
chr5 25715798 25726751 25637119 25807409 cc-ww 175 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.10
chr5 59568268 59571600 59508559 59638005 ww-cc 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.11
chr5 72710553 72712435 72650991 72789474 cc-ww 175 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.12
chr6 89988383 89993561 89937106 90051139 cc-ww 175 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.13
chr6 120919210 120922976 120825976 120996185 ww-cc 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.14
chr7 65015684 65149949 64949997 65262128 cc-ww 143 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.15
chr7 65561111 65718461 65500591 65784692 ww-cc 142 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.16
chr7 118960057 118965564 118893401 119054710 cc-ww 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.17
chr8 24677610 24678985 24669916 24699184 ww-wc 92 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.18
chr8 72125799 72127448 72121120 72134680 wc-cc 82 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.19
chr8 136597339 136601100 136531955 136658979 cc-ww 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.20
chr8 137740237 137742499 137664875 137801989 ww-cc 173 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.21
chr9 41380565 41538513 41323059 41831007 cc-wc 99 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.22
chr9 42506568 42783305 42411030 42802767 wc-cc 105 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.23
chr9 61930345 61972753 61729970 62799080 cc-ww 119 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.24
chr9 63916870 63968675 63845599 64012647 ww-cc 119 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.25
chr9 66191466 66601619 65945661 66782232 cc-ww 139 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.26
chr11 40971117 40978112 40875877 41047885 cc-ww 175 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.27
chr11 49927621 50136408 49844257 50199420 ww-cc 88 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.28
chr11 50342853 50529109 50296360 50566477 cc-ww 95 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.29
chr11 76302454 76302467 76292525 76311020 ww-wc 100 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.30
chr11 122535969 122537550 122528970 122554009 wc-ww 83 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.31
chr12 34637462 34787271 34574172 34854600 ww-cc 86 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.32
chr12 37091807 37420310 36539098 37477729 cc-ww 86 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.33
chr12 62874590 62875684 62821796 62939161 ww-cc 175 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.34
chr12 63859428 63865682 63797776 63935093 cc-ww 174 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.35
chr13 18337758 18416318 18241156 18502556 wc-ww 120 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.36
chr14 19955864 19958882 19937018 19971326 wc-cc 93 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.37
chr15 60811438 60811734 60799114 60840848 ww-wc 81 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.38
chr15 72634619 72644756 72629760 72672925 wc-ww 93 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.39
chr15 74108347 74108893 74064365 74131135 ww-wc 74 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.40
chr15 89348399 89348647 89342141 89357048 wc-ww 87 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.41
chr16 21582846 21594041 21579655 21703130 ww-cc 147 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.42
chr16 22692627 22703725 22679425 22764031 cc-ww 142 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.43
chr16 34275578 34572612 34211457 34583073 ww-cc 122 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.44
chr16 46401631 46404227 46399341 46499726 cc-ww 170 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.45
chr17 26762704 26881261 26668367 26884120 cc-ww 119 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.46
chr17 27005755 27066460 26878753 27130966 ww-cc 119 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.47
chr20 28550093 28558567 28507012 28564928 cc-ww 149 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.48
chr20 29119775 29123993 29108050 29223417 ww-cc 152 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.49
chr20 29838482 29879084 29794916 30165572 cc-ww 98 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.50
chr20 30421149 30494956 30336838 30545926 ww-cc 95 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.51
chr21 9653764 9723214 9650028 9735904 wc-ww 29 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.52
chr21 9967872 9972535 9909839 10012435 ww-wc 58 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.53
chr21 13026576 13075997 12994286 13119925 wc-cc 52 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.54
chr22 15312961 15325044 12629390 15411705 wc-ww 72 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.55
chrX 58172875 58759478 58112371 62462887 cc-ww 22 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.56
chrX 62305287 62585237 58538237 62658740 ww-cc 22 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.57
chrX 103689015 103993425 103633224 104047292 cc-ww 29 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.58
chrX 104047292 104393255 103993425 104452511 ww-cc 29 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.59
chrX 149306044 149597277 149292918 149750144 cc-wc 21 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.60
chrX 149720787 150051200 149653091 150060519 wc-cc 21 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.61
chrX 153038832 153057156 153035880 153271588 cc-wc 39 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.62
chrX 153249783 153271513 153181288 153302947 wc-cc 41 fucci_blm_c14_w31_single_3e8_S241_.trimmed.mdup.bam.RData.63
chr3 68179150 68196242 52068987 70582078 wc-ww 97 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.1
chr3 93651747 93713625 88595659 100002539 ww-wc 100 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.2
chr5 52473079 52483042 52435902 52524893 cc-wc 100 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.3
chr8 73981051 73986929 73939524 73996126 wc-ww 88 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.4
chr8 93497940 93511331 93477925 93536682 ww-wc 92 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.5
chr8 102992409 102997785 102976383 103025415 wc-ww 89 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.6
chr8 128925629 128931424 128865828 128940387 ww-wc 97 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.7
chr9 1140267 1150677 1098922 1172419 wc-ww 86 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.8
chr9 25494360 25501823 25471876 25526588 ww-wc 98 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.9
chr9 26238731 26251339 26210376 26274871 wc-ww 93 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.10
chr9 32187742 32203644 32142542 32237989 ww-wc 84 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.11
chr9 71602791 71611641 71591504 71646756 wc-ww 99 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.12
chr9 87331929 87333822 87290233 87342617 ww-wc 86 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.13
chr9 100137432 100145603 100111563 100178193 wc-ww 94 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.14
chr9 113583800 113604273 111224514 121594534 ww-wc 91 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.15
chr11 100642963 100644862 100621673 100676072 wc-ww 101 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.16
chr11 104206856 104217882 104162042 104230764 ww-wc 102 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.17
chr15 52915351 52924227 52899262 52970778 wc-cc 92 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.18
chr15 59546570 59554177 56741188 63587285 cc-wc 97 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.19
chr17 33266920 33299699 33260222 33339892 wc-cc 87 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.20
chr17 34739680 34766127 34710811 34826441 cc-wc 85 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.21
chr19 20594259 20595682 20553143 20613144 wc-cc 80 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.22
chr19 32902588 32918947 32883342 32949277 cc-wc 87 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.23
chr19 55860701 55861132 55813703 55928805 wc-cc 67 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.24
chr19 57199648 57223704 57182308 57229991 cc-wc 81 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.25
chr20 60227342 60231005 60209210 60250312 wc-ww 99 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.26
chr20 61642903 61648892 61625579 61660696 ww-wc 93 fucci_blm_c14_w33_single_3e8_S242_.trimmed.mdup.bam.RData.27
chr1 146058510 146386959 145927630 147007904 cc-ww 155 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.1
chr1 148670212 148984858 148235539 149877918 ww-cc 174 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.2
chr1 240490782 240494317 240367066 240632198 cc-ww 173 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.3
chr2 89054222 89602847 88997257 89639446 cc-wc 37 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.4
chr2 91577898 91588375 91448659 91780402 wc-cc 17 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.5
chr4 48795053 49098657 48740090 49163754 ww-wc 15 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.6
chr4 49709811 52400084 49241905 52426143 wc-ww 12 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.7
chr5 143337163 143338951 143211392 143390783 ww-cc 173 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.8
chr7 57565111 57660838 57526605 57857563 ww-wc 59 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.9
chr7 62407106 62579489 61963066 62593689 wc-ww 49 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.10
chr7 65090420 65218749 64834897 65309834 ww-cc 43 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.11
chr7 65517976 65741438 65379706 65902657 cc-ww 50 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.12
chr8 116753718 116782195 116590894 116925767 ww-cc 171 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.13
chr9 39093530 39855728 39002128 40881307 cc-wc 79 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.14
chr9 42505017 42728918 42413856 42769460 wc-cc 57 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.15
chr9 61731868 61981753 61705024 62816461 cc-wc 47 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.16
chr9 65292015 65414354 63888228 65442114 wc-cc 73 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.17
chr11 47564787 47575498 47446021 47680655 cc-ww 174 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.18
chr12 57270250 57272278 57148428 57391982 cc-ww 172 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.19
chr12 62874685 62878914 62753358 62891463 ww-cc 168 fucci_blm_c14_w39_single_3e8_S245_.trimmed.mdup.bam.RData.20
